Batch mtDNA	Sequence Released Date	No. of Samples	Analysis Code	Batch mtDNA-Analysis Code	Analyst(s)	Batch Receive Time	No. of Samples Analysed by Sequencher	Sequencher Analysis Transfer Time	1st Review	Review Finish	2nd Review	No. of Samples Passed by Sequencher Analysis (1st run)	No. of Samples Passed by Sequencher Analysis (rerun)	No. of Samples Passed by Sequencher Analysis Transfered to Next Stage	Sequencher Analysis Results from Lab to Sciences Date	Sequencher Analysis (Batches)	Analyst(s).1	Sequencher vs Pipeline Comparison	Regenerated Reports by the Science Team	Regenerated Reports Realeased Date	Numbers of Reports Released	Reports Check by Nam	Final Reports	Note1	Done	Run1 Analysis Results Released Date	Rerun Analysis Results Released Date	Note1.1	Note 2	Note 2.1	Unnamed: 31
mtDNA_20	2025-03-19	91			-	-	91.0	-	-	-	-	91.0	-	91.0	250321	Done	N (Ms)		Released	250321	91	Done	91.0		DONE			Tiền Giang			
mtDNA_21	2025-03-29	92			-	-	92.0	-	-	-	-	88.0	4	88.0	250401		N (Ms)		Released	250402	88	Done	88.0	4 mẫu lab chạy lại từ PCR	DONE	2025-07-10		Nghệ An - Hà Tĩnh			
mtDNA_22	2025-04-02	92			-	-	92.0	-	-	-	-	86.0	4	86.0	250404		N (Ms)		Released	250404	86	Done	86.0	4 mẫu lab chạy lại PCR-bigdye 3F, 2 mẫu chạy lại từ tách chiết	DONE	2025-07-10		Nghệ An - Hà Tĩnh (2 mẫu đã chạy xác minh, trả ở batch 28)			
mtDNA_23	2025-04-04	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250408	Done	N (Ms)		Released	250408	92	Done	92.0		DONE			Nghệ An - Hà Tĩnh			
mtDNA_24	2025-04-08	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250410	Done	N (Ms)		Released	250410	92	Done	92.0		DONE			Nghệ An - Hà Tĩnh			
mtDNA_25	2025-04-09	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250411	Done	N (Ms)		Released	250416	92	Done	92.0		DONE			Nghệ An - Hà Tĩnh			
mtDNA_26	2025-04-11	92			-	-	92.0	-	-	-	-	91.0	1	91.0	250418		N (Ms)		Released	250421	91	Done	91.0	253034: yc chạy BS HV3F	DONE	2025-07-10		Nghệ An - Hà Tĩnh			
mtDNA_27	2025-04-10	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250416	Done	N (Ms)		Released	250421	92	Done	92.0		DONE			Nghệ An - Hà Tĩnh			
mtDNA_28	2025-04-16	92			-	-	92.0	-	-	-	-	84.0	8	84.0	250425		T, Q, N (Ms)		Released	250428	84	Done	84.0	2 mẫu 252251, 252278 (mt22, nhóm mẫu Nghệ An - Hà Tĩnh) đã được chạy lại từ tách chiết và xác nhận đúng KQ. 8 mẫu yc chạy BS	DONE	2025-06-20		Hà Nam + 2 Nghệ An - Hà Tĩnh			
mtDNA_29	2025-04-17	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250421	Done	N (Ms)		Released	250421	92	Done	92.0	lưu ý 253888 có del ở 16166. 4 mẫu yc chạy BS	DONE			Hà Nam (1 mẫu thuộc ca Đức Cơ)			
mtDNA_30	2025-02-17	92			-	-	92.0	-	-	-	-	88.0	4	88.0	250424		T, N (Ms)		Released	250428	88	Done	88.0	4 mẫu chạy BS	DONE	2025-06-20		Hà Nam (1 mẫu thuộc ca Đức Cơ)			
mtDNA_31	2025-04-21	92			-	-	92.0	-	-	-	-	89.0	3	89.0	250428		N (Ms)		Released	250428	89	Done	89.0	3 mẫu chạy BS	DONE	2025-06-20		Hà Nam			
mtDNA_32	2025-04-23	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250428	Done	T, N (Ms)		Released	250428	92	Done	92.0		DONE			Hà Nam			
mtDNA_33	2025-04-24	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250505	Done	Q, N (Ms)		Released	250505	92	Done	92.0		DONE			Hà Nam			
mtDNA_34	2025-04-26	92			-	-	92.0	-	-	-	-	90.0	2	90.0	250429		T, N (Ms)		Released	250429	90	Done	90.0	2 mẫu chạy BS	DONE	2025-06-20		Hà Nam			
mtDNA_35	2025-04-26	92			-	-	92.0	-	-	-	-	92.0	-	92.0	250505	Done	T, N (Ms)		Released	250506	92	Done	92.0		DONE			Hà Nam			
mtDNA_36	2025-04-27	92			-	-	92.0	-	-	-	-	89.0	3	89.0	250505		T, N (Ms)		Released	250505	89	Done	89.0	3 mẫu chạy BS	DONE	2025-06-20		Hà Nam			
mtDNA_37	2025-04-28	90			-	-	90.0	-	-	-	-	87.0	3	87.0	250505		N (Ms)		Released	250506	87	Done	87.0		DONE	2025-06-20		Hà Nam			
mtDNA_38	2025-04-29	92			-	-	92.0	-	-	-	-	91.0	1	91.0	250505		T, N (Ms)		Released	250506	91	Done	91.0	1 mẫu chạy BS	DONE	2025-06-20		Hà Nam			
mtDNA_40	2025-05-06	91			-	-	91.0	-	-	-	-	89.0	1	89.0	250507				Released	250508	89	Done	89.0	1 mẫu tách lại, 1 mẫu chạy BS	DONE	2025-06-20		Hà Nam (lặp 1 mẫu chạy lại từ bước tách, trả KQ ở batch mt52)			
